x_min,x_max,y_value,stat_err,sys_err_total,provenance_json
1.00,1.16,21890.0,110.5,437.8,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
1.16,1.33,19450.0,97.3,389.0,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
1.33,1.51,17120.0,85.6,342.4,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
1.51,1.71,14980.0,74.9,299.6,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
1.71,1.92,12740.0,63.7,254.8,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
1.92,2.15,10850.0,54.3,217.0,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
2.15,2.40,9032.0,45.2,180.6,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
2.40,2.67,7450.0,37.3,149.0,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
2.67,3.00,5985.0,29.9,119.7,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
3.00,3.35,4710.0,23.6,94.2,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
3.35,3.73,3622.0,18.1,72.4,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
3.73,4.14,2731.0,13.7,54.6,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
4.14,4.57,2008.0,10.0,40.2,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
4.57,5.06,1456.0,7.28,29.1,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
5.06,5.60,1032.0,5.16,20.6,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
5.60,6.17,717.2,3.59,14.3,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
6.17,6.79,489.5,2.45,9.79,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
6.79,7.49,331.0,1.66,6.62,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
7.49,8.28,218.3,1.09,4.37,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
8.28,9.16,143.6,0.72,2.87,"{""doi"":""10.1103/PhysRevLett.114.171103"",""table"":""T1""}"
